CD_STAT_SECTOR,MS_P50 (MEDIAN_PRICE),CD_YEAR,CD_TYPE_FR
13025A03-,230569.0,2023,Appartements
13025A60-,249000.0,2023,Appartements
13035A00-,215000.0,2023,Appartements
13036A000,248750.0,2023,Appartements
13040A000,243000.0,2023,Appartements
13040A031,187500.0,2023,Appartements
13040A042,192000.0,2023,Appartements
13040A601,210000.0,2023,Appartements
13040A613,240000.0,2023,Appartements
13040A622,176750.0,2023,Appartements
13040A700,254250.0,2023,Appartements
13044A000,285000.0,2023,Appartements
21001A011,240000.0,2023,Appartements
21001A120,191000.0,2023,Appartements
21001A32-,175000.0,2023,Appartements
21001A41-,175000.0,2023,Appartements
21001A43-,210000.0,2023,Appartements
21001A503,181500.0,2023,Appartements
21001A51-,196000.0,2023,Appartements
21001A552,235000.0,2023,Appartements
21001A81-,220000.0,2023,Appartements
21001A84-,208000.0,2023,Appartements
21001A941,217000.0,2023,Appartements
21001B21-,217500.0,2023,Appartements
21001B25-,189500.0,2023,Appartements
21002A21-,290000.0,2023,Appartements
21002A43-,338000.0,2023,Appartements
21003A02-,230000.0,2023,Appartements
21003A10-,223000.0,2023,Appartements
21004A02-,270000.0,2023,Appartements
21004A20-,254000.0,2023,Appartements
21004A21-,225000.0,2023,Appartements
21004A23-,364500.0,2023,Appartements
21004A24-,255000.0,2023,Appartements
21004A25-,306000.0,2023,Appartements
21004A32-,270000.0,2023,Appartements
21004A33-,231613.0,2023,Appartements
21004A35-,207500.0,2023,Appartements
21004A811,195000.0,2023,Appartements
21004A822,246500.0,2023,Appartements
21004B2MJ,380000.0,2023,Appartements
21004B421,332000.0,2023,Appartements
21004B43-,325000.0,2023,Appartements
21004B44-,260000.0,2023,Appartements
21004C54-,372500.0,2023,Appartements
21004C552,440000.0,2023,Appartements
21004C62-,485000.0,2023,Appartements
21004C63-,361000.0,2023,Appartements
21004D631,393500.0,2023,Appartements
21004D672,145000.0,2023,Appartements
21004E130,185500.0,2023,Appartements
21004E14-,239500.0,2023,Appartements
21004E201,232500.0,2023,Appartements
21004E222,199000.0,2023,Appartements
21004E72-,207500.0,2023,Appartements
21004E73-,227500.0,2023,Appartements
21004E74-,210000.0,2023,Appartements
21004E81-,214800.0,2023,Appartements
21004E83-,212500.0,2023,Appartements
21004F522,225000.0,2023,Appartements
21004F531,265000.0,2023,Appartements
21004F91-,200000.0,2023,Appartements
21005A00-,290000.0,2023,Appartements
21005A01-,231500.0,2023,Appartements
21005A02-,340001.0,2023,Appartements
21005A042,267500.0,2023,Appartements
21005A051,320000.0,2023,Appartements
21005A10-,262500.0,2023,Appartements
21005A11-,276000.0,2023,Appartements
21005A12-,253000.0,2023,Appartements
21005A14-,357000.0,2023,Appartements
21005A20-,279000.0,2023,Appartements
21005A311,395000.0,2023,Appartements
21006A001,259000.0,2023,Appartements
21006A011,162500.0,2023,Appartements
21006A101,214000.0,2023,Appartements
21006A22-,225000.0,2023,Appartements
